--- REGISTRO DE ACTIVIDADES HUMANAS (VLM) ---
Video procesado: agriculture.mp4
Tiempo (hh:mm:ss) | Actividad Detectada
-----------------------------------------
00:00:00 | Un grupo of people stand in a field, possibly tending to crops or involved in agricultural activities, while nearby a piece of machinery is stationed.
00:00:03 | 'Harvesting grapes in a vineyard'
00:00:06 | La imagen muestra a una persona trabajando en una plantación, recopilando algo que parece ser flores de alguna planta.
00:00:09 | 'Pickapples in apple orchard'
00:00:12 | Describiendo la actividad humana orientada en la agricultura en una sola frase corta de máximo 5 palabras:  "Cargando cajas con limones"
00:00:15 | "Pulando manzanas"
00:00:18 | Un agricultor trabajando en su huerto.
00:00:21 | La imagen muestra una persona trabajando en un huerto con raíces verdes.
00:00:24 | Cosechando hortalizas
00:00:27 | Manual labor in farm field.
00:00:30 | "Agricultores cultivando campos"
00:00:33 | 'Cultivando plantas'
00:00:36 | La persona está cultivando.
00:00:39 | Jardín de cultivar, manejando la tierra.
00:00:42 | 'Tillando campos'
00:00:45 | Actividad humana orientada a la agricultura: 'Trabajando en una granja'
00:00:48 | 'Farming in a field'
00:00:51 | Caminando hacia la salida, no pueda ver los cultivos
00:00:54 | Cultivando campos
00:00:57 | 'Gerente de una granja'
00:01:00 | Esperado que analice la imagen para describir la actividad humana orientada en la agricultura en una sola frase corta de máximo 5 palabras.
00:01:03 | Cepillando colares de vegetales
00:01:06 | Campesinos cultivando coliflor.
